"12-13-2024","Physical Inventory Report by Department","","Raleigh","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"Department","Class","Product Number","Product Description","Product Division","QOH Before","QOH After","Cost Before","Cost After","Count Variance","Cost Variance","QA","QOO","Zone","Shelf","Bin","Aisle","Reorder"
"NS","","EQUIPMENT","Equipment charge","","64","64","0.00","0.00","0","0","66","3","","","","","Yes"
"NS","","LODGING","Lodging charge","","0","0","0.00","0.00","0","0","0","0","","","","","Yes"
"FRT","","DUTY","DUTY","","0","0","0.00","0.00","0","0","0","0","","","","",""
"FRT","","VendorCredit","Vendor Credit","","0","0","0.00","0.00","0","0","0","0","","","","","Yes"
"Siding","","98","Surplus item","","-2127","-2127","0.00","0.00","0","0","0","0","","","","","Yes"
"Siding","","516BEADP","STOCK ONLY 5/16X4X8 PRIMED BEADED PORCH CEILING SM
","","-3","-3","-104.52","-104.52","0","0","0","55","","","","","Yes"
"Siding","","714BLADE","GR71424T 7-1/4 SAW BLADE
","","0","0","0.00","0.00","0","0","0","0","","","","","Yes"
"Siding","","BSCB","CAP & BASE FOR BROWN SUGAR COLUMN","","-192","-192","-384.00","-384.00","0","0","0","0","","","","","Yes"
"Siding","","COILALMOND","***do not use***","","0","0","0.00","0.00","0","0","0","0","","","","","Yes"
"Siding","","COILCOUNTRYR","***do not use***","","0","0","0.00","0.00","0","0","0","0","","","","","Yes"
"Siding","","COILDEEPCHARCOAL","***do not use***","","0","0","0.00","0.00","0","0","0","0","","","","","Yes"
"Siding","","COILDES","***do not use***","","0","0","0.00","0.00","0","0","0","0","","","","","Yes"
"Siding","","COILKHAKI","***do not use***","","0","0","0.00","0.00","0","0","0","0","","","","","Yes"
"Siding","","COILLIN","***do not use***","","0","0","0.00","0.00","0","0","0","0","","","","","Yes"
"Siding","","COILMINK","***do not use***","","0","0","0.00","0.00","0","0","0","0","","","","","Yes"
"Siding","","COILPEWTER","***do not use***","","0","0","0.00","0.00","0","0","0","0","","","","","Yes"
"Siding","","COILSAGE","***do not use***","","0","0","0.00","0.00","0","0","0","0","","","","","Yes"
"Siding","","COILSAND","***do not use***","","0","0","0.00","0.00","0","0","0","0","","","","","Yes"
"Siding","","COILSNO","STOCK ONLY SMOOTH METAL TRIM COIL SNOW","","348","348","20184.00","20184.00","0","0","4151","800","","","","","Yes"
"Siding","","COILWALNUT","***do not use***","","0","0","0.00","0.00","0","0","0","0","","","","","Yes"
"Siding","","COILWHEAT","METAL ACRYLIC TRIM COIL NAVAJO BEIGE
","","0","0","0.00","0.00","0","0","0","0","","","","","Yes"
"Siding","","COILWHITE","POLY COIL WHITE","","-2","-2","-116.00","-116.00","0","0","0","0","","","","","Yes"
"Siding","","CUSTR","Customer Credit","","0","0","0.00","0.00","0","0","0","0","","","","","Yes"
"Siding","","814LS","***do not use***","","-1","-1","-6.47","-6.47","0","0","0","0","","","","","Yes"
"Siding","Special Order","NSSO00117","Alliance T4 Vented Soffit","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00118","Alliance T4 Solid Soffit","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00119","Pelican Bay Shakes","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00120","Kleer 4/4x4x18","","0","0","0.00","0.00","0","0","0","0","","","","","No"
"Siding","Special Order","NSSO00121","Kleer 4/4x6x18","","0","0","0.00","0.00","0","0","0","0","","","","","No"
